,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
93,FLCL,25.166666666666668,8.1,18461,114,TV-14,6,2000,2001,Action,Comedy,94
41,Natsume yûjinchô,24.0,8.1,2221,12,Not Rated,74,2008,2017,Comedy,Drama,42
125,Shijou Saikyou no Deshi Kenichi,25.0,8.1,2255,13,TV-14,61,2006,2014,Action,Comedy,126
89,Kidô senshi Z Gundam,30.0,8.1,1383,17,TV-14,50,1985,1986,Action,Drama,90
44,Planetes,25.0,8.1,3750,25,TV-14,26,2003,2004,Drama,Sci-Fi,45
313,Doraemon,25.0,8.1,4453,23,TV-PG,2877,1979,2005,Adventure,Comedy,314
49,Mejaa,25.0,8.1,360,1,Not Rated,157,2004,2012,Sport,,50
397,Natsume yûjinchô,24.0,8.1,2221,12,Not Rated,74,2008,2017,Comedy,Drama,398
268,Hokuto no Ken 2,25.0,8.1,868,8,Not Rated,26,1987,1988,Action,Adventure,269
104,Space Dandy,24.0,8.1,4299,43,TV-14,26,2014,2014,Adventure,Comedy,105
389,Shinchan,25.0,8.0,5851,21,TV-MA,88,2006,2011,Comedy,,390
410,Fate/stay night: Unlimited Blade Works,24.0,8.0,8300,27,TV-14,27,2014,2015,Action,Adventure,411
166,Shaman Kingu,23.0,8.0,6171,22,TV-Y7,78,2001,2005,Action,Adventure,167
334,Shin kidô senki Gundam W,30.0,8.0,4680,75,TV-PG,49,1995,1996,Action,Adventure,335
390,Bakuman.,24.0,8.0,2533,9,Not Rated,75,2010,2013,Comedy,Drama,391
431,Akatsuki no Yona,24.0,8.0,4339,33,TV-14,24,2014,2015,Action,Adventure,432
106,Môsô dairinin,25.0,8.0,12823,53,TV-MA,13,2004,2004,Drama,Horror,107
221,Kadokyaputa Sakura,30.0,8.0,5264,44,TV-Y7-FV,70,1998,2000,Action,Adventure,222
484,Ansatsu kyôshitsu,23.0,8.0,17722,93,TV-14,49,2013,2016,Action,Comedy,485
466,Golden Boy: Sasurai no o-benkyô yarô,27.5,8.0,6208,21,Not Rated,6,1995,1996,Comedy,,467
28,Toradora!,24.0,8.0,16761,73,TV-14,25,2008,2009,Comedy,Drama,29
76,12 kokuki,25.0,8.0,2083,17,Not Rated,45,2002,2003,Adventure,Drama,77
92,Kureimoa,24.0,8.0,14275,30,TV-MA,26,2007,2007,Action,Adventure,93
60,Bakemonogatari,24.0,8.0,6033,15,TV-14,15,2009,2010,Action,Comedy,61
100,Kidô Senshi Gundam,30.0,8.0,2511,20,TV-14,43,1979,1980,Action,Drama,101
86,Haibane Renmei,25.0,8.0,3869,24,TV-PG,13,2002,2025,Drama,Fantasy,87
105,Rupan sansei,23.0,7.9,2262,10,TV-PG,23,1971,1972,Action,Adventure,106
160,Pokémon Origins,25.0,7.9,3095,14,TV-Y7,4,2013,2013,Action,Adventure,161
336,Outlaw Star,25.0,7.9,3890,34,TV-MA,27,1998,2025,Action,Adventure,337
483,Death Parade,24.0,7.9,17536,46,TV-MA,12,2015,2015,Drama,Mystery,484
333,Rittai anime ie naki ko Remi,24.0,7.9,1147,6,Not Rated,51,1977,1978,Adventure,Drama,334
62,Lovely Complex,24.0,7.9,2944,12,TV-PG,24,2007,2007,Comedy,Romance,63
67,Black Lagoon,25.0,7.9,16082,46,TV-MA,24,2006,2006,Action,Adventure,68
64,Kiru ra kiru: KILL la KILL,25.0,7.9,15257,51,TV-14,25,2013,2014,Action,Comedy,65
304,Gin no saji,22.0,7.9,1302,3,TV-PG,22,2013,2014,Comedy,Drama,305
56,Higurashi no naku koro ni,24.0,7.9,6015,39,TV-MA,26,2006,2006,Drama,Horror,57
278,Captain Future,30.0,7.9,1427,9,Not Rated,52,1978,1979,Adventure,Sci-Fi,279
53,Gankutsu-ô,24.0,7.9,2598,21,TV-14,24,2004,2005,Drama,Mystery,54
